STRUCTURE,STRUCTURE_ID,ACTION,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,METRIC,METRIC_LABEL,GEMS_RATING,GEMS_RATING_LABEL,CONTRACT_SIZE,CONTRACT_SIZE_LABEL,CREDIT_RATING,CREDIT_RATING_LABEL,CURRENCY_TYPE,CURRENCY_TYPE_LABEL,SECTOR,SECTOR_LABEL,PROJECT_TYPE,PROJECT_TYPE_LABEL,SENIORITY,SENIORITY_LABEL,TIME_DEFAULT,TIME_DEFAULT_LABEL,DEFAULT_TYPE,DEFAULT_TYPE_LABEL,RR_BAND,RR_BAND_LABEL,TIME_SINCE_BASE,TIME_SINCE_BASE_LABEL,TIME_PERIOD,OBS_VALUE,FREQ,FREQ_LABEL,DATABASE_ID,DATABASE_ID_LABEL,DECIMALS,DECIMALS_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,OBS_CONF,OBS_CONF_LABEL,UNIT_MULT,UNIT_MULT_LABEL
datastructure,IFC.CR:DS_GEM(1.0),I,POL,Poland,IFC_GEM_PBD_H,Historical public default rates,ADR,Average default rate,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T,Overall,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,_Z,2007,0.0,A,Annual,IFC_GEM,Global Emerging Markets Risk Database,2,Two,PT,Percentage,PU,Public,0,Units
datastructure,IFC.CR:DS_GEM(1.0),I,BRA,Brazil,IFC_GEM_PBD_H,Historical public default rates,ADR,Average default rate,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T,Overall,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,_Z,2008,,A,Annual,IFC_GEM,Global Emerging Markets Risk Database,2,Two,PT,Percentage,PU,Public,0,Units
datastructure,IFC.CR:DS_GEM(1.0),I,POL,Poland,IFC_GEM_PBD_H,Historical public default rates,ADR,Average default rate,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T,Overall,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,_Z,2008,0.0,A,Annual,IFC_GEM,Global Emerging Markets Risk Database,2,Two,PT,Percentage,PU,Public,0,Units
datastructure,IFC.CR:DS_GEM(1.0),I,BRA,Brazil,IFC_GEM_PBD_H,Historical public default rates,ADR,Average default rate,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T,Overall,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,_Z,2009,,A,Annual,IFC_GEM,Global Emerging Markets Risk Database,2,Two,PT,Percentage,PU,Public,0,Units
datastructure,IFC.CR:DS_GEM(1.0),I,POL,Poland,IFC_GEM_PBD_H,Historical public default rates,ADR,Average default rate,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T,Overall,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,_Z,2009,0.0,A,Annual,IFC_GEM,Global Emerging Markets Risk Database,2,Two,PT,Percentage,PU,Public,0,Units
datastructure,IFC.CR:DS_GEM(1.0),I,BRA,Brazil,IFC_GEM_PBD_H,Historical public default rates,ADR,Average default rate,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T,Overall,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,_Z,2010,,A,Annual,IFC_GEM,Global Emerging Markets Risk Database,2,Two,PT,Percentage,PU,Public,0,Units
datastructure,IFC.CR:DS_GEM(1.0),I,POL,Poland,IFC_GEM_PBD_H,Historical public default rates,ADR,Average default rate,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T,Overall,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,_Z,2010,0.0,A,Annual,IFC_GEM,Global Emerging Markets Risk Database,2,Two,PT,Percentage,PU,Public,0,Units
datastructure,IFC.CR:DS_GEM(1.0),I,BRA,Brazil,IFC_GEM_PBD_H,Historical public default rates,ADR,Average default rate,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T,Overall,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,_Z,2011,,A,Annual,IFC_GEM,Global Emerging Markets Risk Database,2,Two,PT,Percentage,PU,Public,0,Units
datastructure,IFC.CR:DS_GEM(1.0),I,POL,Poland,IFC_GEM_PBD_H,Historical public default rates,ADR,Average default rate,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T,Overall,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,_Z,2011,0.0,A,Annual,IFC_GEM,Global Emerging Markets Risk Database,2,Two,PT,Percentage,PU,Public,0,Units
datastructure,IFC.CR:DS_GEM(1.0),I,BRA,Brazil,IFC_GEM_PBD_H,Historical public default rates,ADR,Average default rate,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T,Overall,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,_Z,2012,0.0,A,Annual,IFC_GEM,Global Emerging Markets Risk Database,2,Two,PT,Percentage,PU,Public,0,Units
